"category_id";"category_name";"created_by";"updated_by";"created_at";"updated_at"
"1";"Department";"1";"1";"2021-09-20 18:49:00";"2021-09-20 18:49:00"
"2";"Response";"1";"1";"2021-09-20 18:56:24";"2021-09-20 18:56:24"
"3";"ART Screening";"1";"1";"2021-09-20 20:39:54";"2021-09-20 20:39:54"
"4";"Bacterial Reaction";"1";"1";"2021-09-23 18:17:11";"2021-09-23 18:17:11"
"5";"G6PD";"1";"1";"2021-09-25 19:48:06";"2021-09-25 19:48:06"
"6";"BF";"1";"1";"2021-09-25 20:13:14";"2021-09-25 20:13:14"
"7";"Hgb Electrophoresis";"1";"1";"2021-09-25 20:23:32";"2021-09-25 20:23:32"
"8";"Widal";"1";"1";"2021-09-25 20:28:33";"2021-09-25 20:28:33"
"9";"Appearance";"1";"1";"2021-09-26 11:42:08";"2021-09-26 11:42:08"
"10";"Colour";"1";"1";"2021-09-26 11:47:39";"2021-09-26 11:47:39"
"11";"Factors";"1";"1";"2021-09-26 12:11:31";"2021-09-26 12:11:31"
"12";"Urobilnogen";"1";"1";"2021-09-26 12:30:48";"2021-09-26 12:30:48"
"13";"Ora Quick";"1";"1";"2021-09-26 12:55:12";"2021-09-26 12:55:12"
"14";"Semen Collection Mode";"1";"1";"2021-09-26 12:59:42";"2021-09-26 12:59:42"
"15";"Semen Appearance";"1";"1";"2021-09-26 13:05:22";"2021-09-26 13:05:22"
"16";"Semen Viscosity";"1";"1";"2021-09-26 13:09:53";"2021-09-26 13:09:53"
"17";"Type of Bacteriology Specimen";"1";"1";"2021-09-26 13:25:55";"2021-09-26 13:25:55"
"18";"Type of Bacterials";"1";"1";"2021-09-26 13:35:23";"2021-09-26 13:35:23"
"19";"Bacterial Incubation Time";"1";"1";"2021-09-26 13:53:48";"2021-09-26 13:53:48"
"20";"Antibiotics";"1";"1";"2021-10-03 14:35:03";"2021-10-03 14:35:03"
